TOTAL
2004
58
34
9
52
10
8
1
1
48
1
283
14
1941
9
456
1425
1165
116
1048
9
7
47
37
43
54
8
104
19
3
11
17
33
24
68
3
4
1
20
50
1
8
1
4
6
3
17
2
5
76
4
6
4
5
44
9
49
7
403
32
69
47
913
72
249
909
1
156
14
28
43
76
59
26
53
7
3
6
16
7
5
4
1
9
1704
3
1
22
5
1
3
1
2
1
1
18
4
16
3
12
1
3
6
2
7
10
1
8
56
14
2
6
1
2
18
34
45
10
68
95
25
29
11
15
101
58
111
4
361
81
51
38
8
24
79
19
6
224
28
50
32
65
95
39
58
26
783
127
41
4
13
3
3
9
55
32
25
36
15
4
51
5
27
65
13
8
306
1
5
594
14
9
2
428
183
147
1856
791
209
752
254
147
458
36
106
270
164
34
88
16
178
283
41
92
44
276
135
115
104
966
217
286
72
422
83
34
239
110
45
95
1452
121
1278
173
9
83
151
947
245
852
915
1198
95
141
42
35
11
4
15
76
238
11
5
10
16
3
28
108
169
50
12
10
4
14
8
28
216
27
12
4
4
156
7
20
2
2
15
1
1
3
15
85
20
14
44
3
13
9
1
8
31
13
93
6
7
3
6
1
4
96
3
48
9
1
3
5
10
17
18
25
6
10
6
66
3
1
16
1
44
12
4
47
5
1
495
36
30
25
18
10
12
19
25
33
22
8
14
15
62
130
89
29
7
702
125
155
46
9
25
51
9
11
30
5
2
4
28
31
36
11
31
35
2
15
2
1
5
4
11
15
1
3
70
5
1
21
1
8
48
5
3
9
5
1
34
11
12
36
26
37
25
9
42
96
166
84
11
2
5
63
23
6
7
90
45
133
37
11
10
19
54
8
3
52
19
72
16
12
3
4
4
64
58
172
1
4
1
1
4
6751
6
3
2
2
3
4
12
5
1
1
1
1
4
4
2
1
1
2
1
2
2
2
1
1
1
2
83
1
41
7
1
2
4
18
5
2
4
2
13
9
3
5
2
4
2
1
1
1
12
3
5
1
4
8
1
1
2
1
15
6
15
1
1
10
1
2
2
5
2
1
4
21
1
1
1
2
5
4
3
16
4
1
3
194
2
2
3
1
15
4
1
3
2
2
7
2
10
6
9
6
4
4
5
2
17
2
1
1
6
1
3
9
1
1
355
81
7
1
2
3
6
20
1
1
1
1
3
18
72
2
3
2
5
100
10
15
2
2
1
2
22
3
12
1
6
2
2
8
27
4
18
1
3
18
1
1
1
1
2
1
2
5
2
1
1
1
4
37
1
5
1
2
1
3
50
14
8
8
19
7
21
1
3
1
2
5
5
6
4
2
17
9
7
5
7
3
3
2
1
9
2
46
1
3
79
13
13
43
2
2
1
10
11
73
6
7
17
3
1
23
19
1
51
1
3
1
1
8
1
7
16
54
5
1
13
76
27
1
20
213
293
16
38
4
47
333
49
62
28
66
67
185
43
57
16
148
26
16
186
80
16
35
88
65
198
96
183
503
642
82
582
272
1058
403
563
222
150
79
112
40
317
110
247
165
428
281
369
187
973
1321
316
234
273
180
672
7
697
3262
4389
1692
3474
619
300
9
25
7
11
2
8
4
1
7
25
9
9
4
13
10
17
2
3
48
6
12
1
64
50
73
119
20
5
1696
742
517
349
111
1690
93
18
62
64
61
73
253
7
11
